month,duration,pdays,previous,poutcome,y
5.0,186.0,999.0,0.0,0.0,0
0.0,159.0,999.0,0.0,0.0,0
9.0,134.0,999.0,0.0,0.0,0
0.0,80.0,999.0,0.0,0.0,0
3.0,115.0,999.0,0.0,0.0,0
2.0,408.0,999.0,0.0,0.0,0
0.0,109.0,999.0,0.0,0.0,0
0.0,127.0,999.0,0.0,0.0,0
0.0,1309.0,999.0,0.0,0.0,0
2.0,72.0,999.0,0.0,0.0,0
7.0,153.0,4.0,2.0,2.0,1
2.0,179.0,999.0,0.0,0.0,0
1.0,124.0,999.0,1.0,1.0,0
2.0,99.0,999.0,0.0,0.0,0
1.0,187.0,999.0,0.0,0.0,0
8.0,340.0,999.0,0.0,0.0,0
3.0,155.0,999.0,0.0,0.0,0
3.0,115.0,999.0,0.0,0.0,0
1.0,243.0,999.0,0.0,0.0,0
4.0,634.0,999.0,0.0,0.0,0
0.0,532.0,999.0,0.0,0.0,0
5.0,464.0,999.0,1.0,1.0,1
2.0,173.0,999.0,0.0,0.0,0
2.0,115.0,999.0,0.0,0.0,0
1.0,115.0,999.0,0.0,0.0,0
8.0,135.0,999.0,0.0,0.0,1
0.0,166.0,999.0,0.0,0.0,0
0.0,445.0,999.0,0.0,0.0,0
5.0,53.0,999.0,0.0,0.0,0
3.0,149.0,999.0,0.0,0.0,0
0.0,276.0,999.0,0.0,0.0,0
0.0,420.0,999.0,0.0,0.0,0
2.0,83.0,999.0,0.0,0.0,0
4.0,213.0,999.0,0.0,0.0,0
0.0,272.0,999.0,0.0,0.0,0
3.0,242.0,999.0,0.0,0.0,0
0.0,51.0,999.0,0.0,0.0,0
2.0,174.0,999.0,0.0,0.0,0
0.0,55.0,999.0,1.0,1.0,0
3.0,90.0,999.0,0.0,0.0,0
0.0,300.0,999.0,1.0,1.0,0
0.0,124.0,999.0,0.0,0.0,0
8.0,663.0,999.0,0.0,0.0,0
0.0,266.0,999.0,0.0,0.0,0
2.0,258.0,999.0,0.0,0.0,0
5.0,694.0,999.0,0.0,0.0,0
2.0,97.0,999.0,0.0,0.0,0
0.0,193.0,999.0,0.0,0.0,0
0.0,150.0,999.0,1.0,1.0,0
2.0,566.0,999.0,0.0,0.0,0
2.0,128.0,999.0,0.0,0.0,0
5.0,89.0,999.0,0.0,0.0,0
8.0,291.0,999.0,1.0,1.0,0
8.0,417.0,999.0,2.0,1.0,0
0.0,45.0,999.0,1.0,1.0,0
8.0,378.0,999.0,0.0,0.0,1
3.0,159.0,999.0,0.0,0.0,0
7.0,221.0,3.0,2.0,2.0,1
1.0,446.0,999.0,0.0,0.0,0
0.0,429.0,999.0,1.0,1.0,0
8.0,73.0,999.0,1.0,1.0,0
3.0,224.0,999.0,0.0,0.0,0
0.0,181.0,999.0,0.0,0.0,0
2.0,186.0,999.0,0.0,0.0,0
5.0,597.0,999.0,0.0,0.0,0
2.0,238.0,999.0,0.0,0.0,0
1.0,134.0,999.0,0.0,0.0,0
0.0,476.0,999.0,0.0,0.0,0
0.0,535.0,999.0,0.0,0.0,1
0.0,562.0,999.0,0.0,0.0,1
0.0,170.0,999.0,2.0,1.0,0
0.0,464.0,999.0,0.0,0.0,0
1.0,232.0,999.0,0.0,0.0,0
5.0,191.0,999.0,0.0,0.0,0
8.0,326.0,999.0,0.0,0.0,0
5.0,195.0,999.0,0.0,0.0,0
1.0,822.0,999.0,0.0,0.0,0
1.0,179.0,999.0,0.0,0.0,0
0.0,239.0,999.0,1.0,1.0,0
0.0,129.0,999.0,0.0,0.0,0
0.0,181.0,999.0,0.0,0.0,0
5.0,63.0,999.0,0.0,0.0,0
1.0,163.0,999.0,0.0,0.0,0
8.0,333.0,999.0,0.0,0.0,0
0.0,151.0,999.0,0.0,0.0,0
3.0,156.0,999.0,0.0,0.0,0
3.0,100.0,999.0,0.0,0.0,0
5.0,308.0,999.0,0.0,0.0,0
0.0,14.0,999.0,1.0,1.0,0
0.0,212.0,999.0,0.0,0.0,0
8.0,150.0,999.0,0.0,0.0,0
1.0,1199.0,999.0,0.0,0.0,0
8.0,339.0,999.0,0.0,0.0,0
0.0,177.0,999.0,0.0,0.0,0
0.0,245.0,999.0,0.0,0.0,0
3.0,2035.0,999.0,0.0,0.0,1
3.0,120.0,999.0,0.0,0.0,0
5.0,1248.0,999.0,1.0,1.0,1
1.0,563.0,999.0,0.0,0.0,1
3.0,76.0,999.0,0.0,0.0,0
2.0,75.0,999.0,0.0,0.0,0
0.0,359.0,999.0,0.0,0.0,0
0.0,319.0,999.0,0.0,0.0,0
0.0,118.0,999.0,0.0,0.0,0
0.0,262.0,999.0,0.0,0.0,0
0.0,137.0,999.0,0.0,0.0,0
0.0,156.0,999.0,0.0,0.0,0
3.0,86.0,999.0,0.0,0.0,0
0.0,345.0,999.0,0.0,0.0,0
3.0,398.0,999.0,0.0,0.0,0
2.0,184.0,999.0,0.0,0.0,0
2.0,158.0,999.0,0.0,0.0,0
0.0,408.0,999.0,0.0,0.0,0
1.0,135.0,999.0,0.0,0.0,0
0.0,118.0,999.0,0.0,0.0,0
1.0,635.0,999.0,0.0,0.0,0
0.0,692.0,999.0,1.0,1.0,0
1.0,80.0,999.0,0.0,0.0,0
0.0,320.0,999.0,0.0,0.0,0
2.0,46.0,999.0,0.0,0.0,0
3.0,269.0,999.0,0.0,0.0,0
5.0,34.0,999.0,0.0,0.0,0
0.0,25.0,999.0,1.0,1.0,0
0.0,183.0,999.0,0.0,0.0,0
0.0,106.0,999.0,0.0,0.0,0
0.0,273.0,999.0,0.0,0.0,0
1.0,113.0,999.0,0.0,0.0,0
0.0,99.0,999.0,0.0,0.0,0
8.0,43.0,999.0,0.0,0.0,0
1.0,1195.0,999.0,0.0,0.0,0
9.0,800.0,999.0,1.0,1.0,1
8.0,361.0,999.0,1.0,1.0,0
0.0,142.0,999.0,0.0,0.0,0
3.0,1226.0,999.0,0.0,0.0,1
0.0,212.0,999.0,0.0,0.0,0
5.0,26.0,999.0,0.0,0.0,0
0.0,310.0,999.0,0.0,0.0,0
8.0,334.0,999.0,0.0,0.0,0
3.0,290.0,999.0,0.0,0.0,0
2.0,504.0,999.0,0.0,0.0,0
2.0,98.0,999.0,0.0,0.0,0
1.0,75.0,999.0,0.0,0.0,0
1.0,100.0,999.0,0.0,0.0,0
1.0,513.0,999.0,0.0,0.0,0
1.0,94.0,999.0,0.0,0.0,0
1.0,181.0,999.0,0.0,0.0,0
9.0,340.0,999.0,0.0,0.0,1
0.0,214.0,999.0,0.0,0.0,0
3.0,103.0,999.0,0.0,0.0,0
5.0,178.0,999.0,1.0,1.0,0
1.0,139.0,999.0,0.0,0.0,0
0.0,100.0,999.0,0.0,0.0,0
0.0,351.0,999.0,0.0,0.0,0
0.0,274.0,999.0,0.0,0.0,0
5.0,293.0,7.0,2.0,1.0,1
8.0,164.0,999.0,0.0,0.0,0
0.0,17.0,999.0,0.0,0.0,0
8.0,170.0,999.0,0.0,0.0,1
1.0,13.0,999.0,0.0,0.0,0
3.0,126.0,999.0,0.0,0.0,0
1.0,184.0,999.0,0.0,0.0,0
1.0,1053.0,999.0,0.0,0.0,1
8.0,114.0,999.0,0.0,0.0,0
3.0,122.0,999.0,0.0,0.0,0
3.0,162.0,999.0,0.0,0.0,0
0.0,221.0,999.0,0.0,0.0,0
3.0,157.0,999.0,0.0,0.0,0
3.0,151.0,999.0,0.0,0.0,0
8.0,861.0,999.0,0.0,0.0,1
0.0,408.0,999.0,0.0,0.0,0
1.0,136.0,999.0,1.0,1.0,0
0.0,212.0,999.0,0.0,0.0,0
0.0,200.0,999.0,0.0,0.0,0
0.0,129.0,999.0,0.0,0.0,0
2.0,117.0,999.0,0.0,0.0,0
0.0,57.0,999.0,1.0,1.0,0
1.0,70.0,999.0,0.0,0.0,0
2.0,498.0,999.0,0.0,0.0,0
